show_name,found_title,tvmaze_status,status_bucket,next_known_airdate,next_season_airdate,official_site,network,notes
A Good Girls Guide to Murder,A Good Girl's Guide to Murder,Running,running,,,https://www.bbc.co.uk/programmes/m0020bv6,BBC iPlayer,"Show is marked running, but no next episode is currently listed"
A Man on the Inside,A Man on the Inside,Running,running,,,https://www.netflix.com/title/81677257,Netflix,"Show is marked running, but no next episode is currently listed"
A Night of the Seven Kingdoms,A Knight of the Seven Kingdoms,Running,running,,,https://www.hbo.com/content/a-knight-of-the-seven-kingdoms,HBO,"Show is marked running, but no next episode is currently listed"
Animal Control,Animal Control,Running,renewed,2026-04-02,,https://www.fox.com/detail/series/SER002759ZZTO/animal-control,FOX,"Upcoming episode exists, but next season premiere is not clearly identifiable"
Below Deck,Below Deck,Running,running,,,http://www.bravotv.com/below-deck,Bravo,"Show is marked running, but no next episode is currently listed"
Below Deck Down Under,Below Deck Down Under,Running,renewed,2026-03-30,,https://www.bravotv.com/below-deck-down-under,Bravo,"Upcoming episode exists, but next season premiere is not clearly identifiable"
Below Deck Mediterranean,Below Deck Mediterranean,Running,running,,,https://www.bravotv.com/below-deck-mediterranean/watch/episodes,Bravo,"Show is marked running, but no next episode is currently listed"
Below Deck Sailing Yacht,Below Deck Sailing Yacht,Running,running,,,https://www.bravotv.com/below-deck-sailing-yacht,Bravo,"Show is marked running, but no next episode is currently listed"
Bobs Burgers,Bob's Burgers,Running,running,,,http://www.fox.com/bobs-burgers,FOX,"Show is marked running, but no next episode is currently listed"
Bridgerton,Bridgerton,Running,running,,,https://www.netflix.com/title/80232398,Netflix,"Show is marked running, but no next episode is currently listed"
Chad Powers,Chad Powers,Running,running,,,https://www.hulu.com/series/chad-powers-7117a15d-128c-4c2b-a5b9-98adfa0f4505,Hulu,"Show is marked running, but no next episode is currently listed"
Clarksons Farm,Clarkson's Farm,Running,running,,,https://www.primevideo.com/detail/Clarksons-Farm/0SHGKA0J8D4G01ZGD647627NEJ/,Prime Video,"Show is marked running, but no next episode is currently listed"
Dig,Dig,Ended,cancelled,,,,USA Network,Show appears ended
Doctor Who,Doctor Who,Ended,cancelled,,,http://www.bbc.co.uk/programmes/b006q2x0,BBC One,Show appears ended
DTF St. Louis,DTF St. Louis,Running,renewed,2026-03-29,,https://www.hbomax.com/shows/dtf-st-louis/26657073-264a-4f77-842e-378d11b2775e,HBO,"Upcoming episode exists, but next season premiere is not clearly identifiable"
Elle,Elle,In Development,unconfirmed,2026-07-01,2026-07-01,,Prime Video,Future season/episode not yet confirmed
Euphoria,Euphoria,Running,renewed,2026-04-12,2026-04-12,https://www.hbo.com/euphoria,HBO,
Fallout,Fallout,Running,running,,,https://www.amazon.com/dp/B0CN4HV16N,Prime Video,"Show is marked running, but no next episode is currently listed"
From,FROM,Running,renewed,2026-04-19,2026-04-19,https://www.mgmplus.com/series/from,MGM+,
Futurama,Futurama,Running,running,,,https://www.hulu.com/series/futurama-85bf4cc1-cd8b-4469-ad87-7289217a0b74,Hulu,"Show is marked running, but no next episode is currently listed"
Gen V,Gen V,To Be Determined,unconfirmed,,,https://www.amazon.com/dp/B0CBFTRGPZ,Prime Video,Future season/episode not yet confirmed
Ghosts (US),Ghosts,Running,renewed,2026-04-02,,https://www.cbs.com/shows/ghosts/,CBS,"Upcoming episode exists, but next season premiere is not clearly identifiable"
Ginny & Georgia,Ginny & Georgia,Running,running,,,https://www.netflix.com/title/81025696,Netflix,"Show is marked running, but no next episode is currently listed"
Good Omens,Good Omens,Running,renewed,2026-05-13,2026-05-13,https://www.amazon.com/dp/B07FMHTRFF,Prime Video,
Haunted Hotel,Haunted Hotel,Running,running,,,https://www.netflix.com/title/81674500,Netflix,"Show is marked running, but no next episode is currently listed"
House of Dragon,House of the Dragon,Running,running,,,https://www.hbo.com/house-of-the-dragon,HBO,"Show is marked running, but no next episode is currently listed"
Jury Duty,Jury Duty,Ended,cancelled,,,https://www.amazon.com/dp/B0B8JVS7Y8/,Prime Video,Show appears ended
Lucky,Lucky,In Development,unconfirmed,2026-07-15,2026-07-15,https://tv.apple.com/show/lucky/umc.cmc.5qo7t3nngb2vj0m9dxkwebw1o,Apple TV,Future season/episode not yet confirmed
Murderbot,Murderbot,Running,running,,,https://tv.apple.com/us/show/murderbot/umc.cmc.5owrzntj9v1gpg31wshflud03,Apple TV,"Show is marked running, but no next episode is currently listed"
Nobody Wants This,Nobody Wants This,Running,running,,,https://www.netflix.com/title/81591296,Netflix,"Show is marked running, but no next episode is currently listed"
One Piece,One Piece,Running,running,,,https://www.netflix.com/title/80217863,Netflix,"Show is marked running, but no next episode is currently listed"
